ТН;Должность;Ставка;Оклад (основной);Оклад (совместительство);Почасовая оплата;Итого
301776;Ассистент;0,5;1886,82;;;2846,22
71551;Доцент;1,5;8623,0;4311,5;4065,2;18513,03
1204;Доцент;1,0;9830,0;;;16979,14
5601;Доцент;0,15;;1474,5;;2180,79
5601;Доцент;0,1;;983,0;4492,05;5361,94
170098;Доцент;1,5;9830,0;4915,0;7313,8;26578,99
89571;Доцент;1,5;9830,0;4915,0;5691,28;26451,69
303214;Преподаватель;1,3;8019,0;2405,7;;10758,29
301926;Старший преподаватель;0,25;;2155,75;;1875,5
1505;Преподаватель;1,0;8019,0;;;8965,24
71314;Старший преподаватель;0,3;2586,9;;;2925,78
302946;Ассистент;0,5;3818,57;;3245,0;6189,92
2021;Доцент;0,5;4915,0;;;7185,72
4583;Доцент;1,5;9830,0;4915,0;6097,8;25533,23
5024;Старший преподаватель;1,5;6086,82;3043,41;3894,0;18167,37
72257;Профессор;1,5;9830,0;4915,0;;27052,16
2199;Профессор;1,0;10461,0;;;16913,35
303229;Ассистент;1,5;8019,0;4009,5;;10344,5
2031;Преподаватель;0,35;3969,0;2806,65;;8016,48
301148;Преподаватель;1,5;8019,0;4009,5;;13447,86
1290;Старший преподаватель;0,15;3969,0;1293,45;;6454,85
302387;Доцент;1,5;8019,0;4009,5;2561,08;16355,62
302377;Ассистент;0,25;3724,0;2004,75;;6848,31
4488;Доцент;1,5;9830,0;4915,0;;21557,18
300350;Доцент;1,5;8019,0;4009,5;;13965,1
302686;Доцент;1,5;6938,82;3469,41;;19966,59
1050;Старший преподаватель;0,5;;3900,88;;4361,18
1050;Старший преподаватель;1,0;7801,76;;;8722,37
303441;Ассистент;1,25;8019,0;2004,75;5192,0;13947,59
2162;Доцент;0,9;9338,5;;;14728,13
302679;Преподаватель;1,0;4717,06;;;7980,77
104521;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
303483;Доцент;0,25;;2457,5;;3381,53
303483;Доцент;0,5;4915,0;;;6763,04
303347;Старший преподаватель;0,5;;4311,5;;4876,31
